Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13060193_2										7.52668528329462	2.7063705404911658	8.928151995197954	9.781559099094398	6.046924341676019	13.461387895712084	39.828274656157845
SRR13060195_1										4.82936657851656	1.4649708265121941	3.169206229274231	1.1816311967426436	27.92889224698821	17.25223523485707	39.312848927507034
SRR13060195_2										7.851655962725097	2.806111740754733	7.599798514041053	2.312890903748478	23.057549427024306	14.632917768543004	29.055954329849303
SRR13060196_1										4.5073086844368015	2.6638005159071367	11.466895958727429	5.174548581255374	14.185726569217541	10.417884780739467	45.90025795356836
SRR13060196_2										7.267411865864144	3.183147033533964	10.605331040412725	9.975924333619949	17.293207222699913	0.0	38.010318142734306
SRR13060197_1										4.533944702983849	1.3482069531891596	4.595537914043253	5.926635641938133	8.434848070079386	0.0	71.86558992608815
SRR13060197_2										7.897618395839036	2.778538187790857	9.834382699151382	4.085683000273748	23.521762934574323	0.0	37.87298111141528
SRR13060198_1										5.218108400159244	2.084399704259796	15.179434681226184	10.925325598589547	12.628675425126543	0.0	46.98856850366832
SRR13060198_2										8.07882613888415	3.3981686856622875	11.070352044588523	14.602172553034181	11.715861912074162	0.0	34.482170278109535
SRR13060199_1										5.027133400918362	3.5631224282902973	11.470570695927009	11.255888842507007	20.138350527759556	0.0	40.76868030293995
